@RELATION DepthMaps 
@ATTRIBUTE shape_context0 numeric
@ATTRIBUTE shape_context1 numeric
@ATTRIBUTE shape_context2 numeric
@ATTRIBUTE shape_context3 numeric
@ATTRIBUTE shape_context4 numeric
@ATTRIBUTE shape_context5 numeric
@ATTRIBUTE shape_context6 numeric
@ATTRIBUTE shape_context7 numeric
@ATTRIBUTE shape_context8 numeric
@ATTRIBUTE shape_context9 numeric
@ATTRIBUTE shape_context10 numeric
@ATTRIBUTE shape_context11 numeric
@ATTRIBUTE shape_context12 numeric
@ATTRIBUTE shape_context13 numeric
@ATTRIBUTE shape_context14 numeric
@ATTRIBUTE shape_context15 numeric
@ATTRIBUTE shape_context16 numeric
@ATTRIBUTE shape_context17 numeric
@ATTRIBUTE shape_context18 numeric
@ATTRIBUTE shape_context19 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
-0.566519,0.264993,0.163104,0.013033,0.033997,-0.036812,0.021683,0.042848,0.051389,-0.094994,-0.007929,0.006417,-0.039392,0.083616,-0.004621,-0.010664,0.041863,-0.049130,0.161702,0.024750,B
0.152383,-0.181393,0.311728,0.014707,0.070197,-0.056208,0.009792,0.039552,0.053582,-0.091966,-0.014152,0.006505,-0.039361,0.083998,-0.005126,-0.010323,0.042074,-0.049066,0.161702,0.024750,B
0.049980,-0.150482,0.071844,0.095472,-0.119017,-0.001646,0.052403,0.025292,0.053680,-0.098923,-0.008997,0.005124,-0.040008,0.083771,-0.004562,-0.010546,0.041935,-0.049144,0.161702,0.024750,B
0.180364,0.102226,0.121774,0.080906,0.061913,-0.007532,-0.003952,0.079048,0.053840,-0.094043,-0.007514,0.006329,-0.039009,0.083252,-0.004405,-0.010415,0.042021,-0.049100,0.161702,0.024750,B
0.009123,-0.200817,-0.057198,-0.053365,0.163357,0.028480,0.057012,0.037494,0.052557,-0.096048,-0.008191,0.007215,-0.039559,0.083775,-0.004689,-0.010627,0.041884,-0.049141,0.161702,0.024750,B
0.218158,0.153029,0.135429,-0.013339,0.011687,-0.037710,0.028951,0.032987,0.055671,-0.088328,-0.006805,0.002789,-0.039550,0.083933,-0.004623,-0.010286,0.041943,-0.049251,0.161702,0.024750,C
0.221886,0.153270,0.157158,-0.035302,0.024716,-0.024268,0.009080,0.048916,0.054398,-0.093244,-0.009219,0.005951,-0.038601,0.085084,-0.004260,-0.010773,0.041808,-0.049185,0.161702,0.024750,C
0.218574,0.115517,0.179677,-0.000029,0.047188,-0.008948,-0.003477,0.013058,0.042678,-0.096564,-0.008155,0.006806,-0.038288,0.082725,-0.005110,-0.010597,0.041808,-0.049204,0.161702,0.024750,C
0.216492,0.137590,0.173287,-0.016679,0.035018,-0.023381,0.005537,0.024631,0.057810,-0.093845,-0.008680,0.007577,-0.041319,0.083748,-0.004808,-0.011343,0.041903,-0.049183,0.161702,0.024750,C
0.217485,0.110341,0.150893,0.006477,0.031870,-0.049107,0.009811,0.007838,0.049121,-0.099576,-0.013102,0.008076,-0.040898,0.083091,-0.003834,-0.010581,0.041775,-0.049131,0.161702,0.024750,C
0.257588,0.212111,0.098094,0.029016,0.064151,-0.053700,0.040425,0.036846,0.043729,-0.095347,-0.005017,0.003821,-0.040073,0.082448,-0.004428,-0.010659,0.042154,-0.049129,0.161702,0.024750,C
0.167591,0.099096,0.121664,0.058440,0.021363,-0.000018,0.008265,0.017259,0.059093,-0.088677,-0.009007,0.004709,-0.038770,0.083056,-0.004821,-0.010923,0.041587,-0.049027,0.161702,0.024750,C
0.237179,0.210685,0.096216,-0.081861,-0.056541,-0.029433,0.057480,0.073800,0.047593,-0.087529,-0.011375,0.008642,-0.039650,0.082627,-0.004873,-0.010695,0.041882,-0.049103,0.161702,0.024750,C
0.190229,0.094371,0.144037,-0.002957,-0.005727,-0.012997,0.000478,0.024545,0.043766,-0.089971,-0.003261,0.009602,-0.039659,0.084381,-0.004543,-0.010260,0.041900,-0.049128,0.161702,0.024750,C
0.237436,0.235703,0.033046,0.079804,0.068478,-0.070787,0.047789,0.027689,0.057659,-0.090101,-0.010467,0.008518,-0.037412,0.083540,-0.004119,-0.010675,0.041728,-0.049161,0.161702,0.024750,C
